code,factor,kind,coded_frequency,x_authored,y_from_frequency,detected_mentions,detected_respondents,ring_well_evidenced,share_established_supporters,share_potential_adopters,share_brand_champion,share_non_active_supporter,share_brand_prospect,share_brand_newbie
M3,Curriculum alignment and classroom relevance,motivator,10,-0.41,0.714,35,23,True,0.543,0.457,0.543,0.0,0.343,0.114
M4,Ready-to-use resources that reduce teacher preparation,motivator,9,-0.19,0.643,10,10,True,0.8,0.2,0.8,0.0,0.1,0.1
M5,"Trust, referrals and previous positive experience",motivator,7,-0.02,0.5,9,9,True,0.444,0.556,0.444,0.0,0.333,0.222
M1,"Hands-on, experiential learning that engages",motivator,14,0.37,1.0,32,19,True,0.75,0.25,0.75,0.0,0.219,0.031
M2,Real-world expertise from volunteers and industry,motivator,12,0.59,0.857,64,25,True,0.641,0.359,0.625,0.016,0.25,0.109
B4,Low awareness of JABC programs,barrier,7,-0.85,-0.5,6,4,True,0.333,0.667,0.0,0.333,0.167,0.5
B2,Difficulty integrating programs into curriculum,barrier,9,-0.65,-0.643,8,7,True,0.25,0.75,0.25,0.0,0.5,0.25
B5,Information overload and competing priorities,barrier,6,-0.5,-0.429,13,9,True,0.769,0.231,0.769,0.0,0.077,0.154
B1,Limited instructional time and scheduling,barrier,11,-0.24,-0.786,36,22,True,0.583,0.417,0.556,0.028,0.333,0.083
B3,Program discovery and registration friction,barrier,8,0.49,-0.571,38,21,True,0.737,0.263,0.737,0.0,0.211,0.053
