respondent_id,respondent_id_source,respondent_id_confidence,source_file,sheet_name,inferred_role,original_persona_sheet_label,reported_brand_persona,brand_persona,classification_confidence,engagement_gate_satisfied,confidence,evidence_coverage,evidence_strength,persona_margin,answer_completeness,classification_consistency,sections_answered,has_jabc_experience,has_current_jabc_engagement,has_lapsed_jabc_engagement,intends_to_continue_jabc,is_aware_of_jabc,runs_external_programs,explores_external_programs,has_positive_external_experience,has_negative_external_experience,is_hesitant_about_external_programs,has_no_external_experience,has_current_barriers,jabc_recency_signal,external_disposition_signal,engagement_evidence,awareness_score,awareness_evidence_strength,awareness_evidence_status,understanding_score,understanding_evidence_strength,understanding_evidence_status,trust_score,trust_evidence_strength,trust_evidence_status,relevance_score,relevance_evidence_strength,relevance_evidence_status,ease_of_engagement_score,ease_of_engagement_evidence_strength,ease_of_engagement_evidence_status,advocacy_score,advocacy_evidence_strength,advocacy_evidence_status,average_score,overall_sentiment_label,overall_sentiment_score,manual_review_flag,manual_review_reason,classification_reasoning
Alison_Bain,filename,0.7,Interview_Alison_Bain_July21_Teacher_Unfamiliar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Newbie,0.726,True,0.341,0.167,0.183,0.41,0.423,1.0,ABCDEI,False,False,False,False,False,True,False,False,False,True,False,False,0.0,-0.104,"has_jabc_experience: (suppressed) respondent denied any prior familiarity with JABC | has_positive_external_experience: [2.1.1] …valuable… Bizz kids has the full curriculum & digital, can print out materials & has videos go with  | is_aware_of_jabc: [3] (denied) nothing | is_hesitant_about_external_programs: [4] …nervous… a trippadation at the first time - as a teacher bringing new person in is taking a risk, y | is_hesitant_about_external_programs: [4] …risk… a trippadation at the first time - as a teacher bringing new person in is taking a risk, y",1.8,0.55,weak,3.0,0.0,insufficient,3.306,0.0,insufficient,2.4,0.55,mixed,3.009,0.0,weak,3.0,0.0,unknown,2.752,mixed,0.221,False,,"Selected Brand Newbie via engagement gate (margin=0.41). Persona scores: Brand Newbie=10.12 [gate] [+1 support], Brand Prospect=5.00 [+1 support], Non-Active Supporter=4.50, Brand Champion=2.67. Engagement state: sections=ABCDEI; flags=is_hesitant_about_external_programs, runs_external_programs; jabc_recency=+0.00; external_disposition=-0.10"
Alvina_Last,filename,0.7,Interview_Alvina_Last_July16_Teacher_Unfamiliar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.846,True,0.348,0.0,0.208,0.56,0.562,1.0,ABCD,False,False,False,False,False,True,True,True,False,False,False,False,0.0,0.575,"has_jabc_experience: (suppressed) respondent denied any prior familiarity with JABC | has_positive_external_experience: [4] …valuable… For example, for the workshop from Science Made Fun: they brought in materials that were h | is_aware_of_jabc: [3] (denied) Not familiar with either | is_aware_of_jabc: [3] (negated) …Not familiar…",1.443,0.7,mixed,3.0,0.0,insufficient,3.0,0.0,insufficient,3.6,0.55,weak,3.0,0.0,unknown,3.0,0.0,unknown,2.841,positive,0.384,False,,"Selected Brand Prospect via engagement gate (margin=0.56). Persona scores: Brand Prospect=11.35 [gate] [+2 support], Non-Active Supporter=4.35, Brand Newbie=3.50, Brand Champion=3.17. Engagement state: sections=ABCD; flags=explores_external_programs, has_positive_external_experience, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.57"
Amanda_Reid,filename,0.7,Interview_Amanda_Reid_July15_Teacher_Unfamiliar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.764,True,0.344,0.0,0.183,0.52,0.625,1.0,ABCDJ,False,False,False,False,False,True,True,False,False,False,False,False,0.0,0.21,has_jabc_experience: (suppressed) respondent denied any prior familiarity with JABC | is_aware_of_jabc: [3] (denied) Not at all familiar | is_aware_of_jabc: [3] (negated) …Not at all familiar…,1.8,0.55,mixed,3.0,0.0,insufficient,3.0,0.0,unknown,3.6,0.55,mixed,3.0,0.0,unknown,3.0,0.0,unknown,2.9,positive,0.526,False,,"Selected Brand Prospect via engagement gate (margin=0.52). Persona scores: Brand Prospect=11.00 [gate] [+1 support], Non-Active Supporter=4.50, Brand Newbie=3.50, Brand Champion=3.17. Engagement state: sections=ABCDJ; flags=explores_external_programs, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.21"
Amy_Fehst,filename,0.7,Interview_Amy_Fehst _July24_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.66,True,0.489,0.444,0.367,0.415,0.538,1.0,ABCDEI,True,True,False,False,True,False,False,False,False,False,True,False,0.762,0.0,"has_current_jabc_engagement: [2.1.1] …every year… JABC - she had a friend working for JABC, she introduced it to her and asked her if she ca | has_current_jabc_engagement: [5] …last year… difficult: open links within the slide deck, can't get videos open - videos can't open, no | has_jabc_experience: [5] difficult: open links within the slide deck, can't get videos open - videos can't open, not accessible to search online too; maybe an easily accessibl",3.22,0.55,mixed,3.923,0.55,supported,3.678,0.0,insufficient,3.187,0.55,mixed,3.957,0.55,mixed,3.0,0.0,weak,3.494,positive,0.361,False,,"Selected Brand Champion via engagement gate (margin=0.41). Persona scores: Brand Champion=9.89 [gate], Brand Prospect=4.70 [+1 support], Non-Active Supporter=4.60, Brand Newbie=2.60 [+1 support]. Engagement state: sections=ABCDEI; flags=has_current_jabc_engagement, has_jabc_experience, has_no_external_experience, is_aware_of_jabc; jabc_recency=+0.76; external_disposition=+0.00"
Andrea_Nasiopoulos,filename,0.7,Interview_Andrea_Nasiopoulos_July15_Teacher_Unfamiliar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.847,True,0.332,0.056,0.183,0.562,0.381,1.0,ABCDI,False,False,False,False,False,True,True,True,True,False,False,False,0.0,0.18,"has_jabc_experience: (suppressed) respondent denied any prior familiarity with JABC | has_negative_external_experience: [4] …didn't choose… not a lot choices - funtus and panel, philosophy very controversial, so didn't choose | has_negative_external_experience: [4] …controversial… not a lot choices - funtus and panel, philosophy very controversial, so didn't choose | has_positive_external_experience: [2.1.1] …easy to follow… free, with slides; also an ontario version. Heard about it, seen daughter's class doing it | has_positive_external_experience: [2.1.1] …easy to download… free, with slides; also an ontario version. Heard about it, seen daughter's class doing it | is_aware_of_jabc: [3] (denied) not at all | is_aware_of_jabc: [3] (negated) …not at all…",1.8,0.55,weak,3.0,0.0,insufficient,3.0,0.0,insufficient,3.6,0.55,mixed,3.0,0.0,insufficient,2.944,0.0,weak,2.891,mixed,0.258,False,,"Selected Brand Prospect via engagement gate (margin=0.56). Persona scores: Brand Prospect=11.52 [gate] [+2 support], Non-Active Supporter=4.50, Brand Newbie=4.02 [+1 support], Brand Champion=3.14. Engagement state: sections=ABCDI; flags=explores_external_programs, has_negative_external_experience, has_positive_external_experience, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.18"
Ashley_Warawa,filename,0.7,Interview_Ashley_Warawa_July20_Teacher_Active.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.647,True,0.41,0.278,0.375,0.376,0.385,1.0,ABCDEI,True,True,False,False,True,True,True,False,False,False,False,False,0.0,0.123,"has_jabc_experience: [5] has slide decks she can make into her own, still use these slides to teach financial literacy; changed but bones are there
content easy to find & unde | has_jabc_experience: [5] has slide decks she can make into her own, still use these slides to teach financial literacy; changed but bones are there
content easy to find & unde | is_aware_of_jabc: [1.4] (negated) …no idea what…",3.22,0.55,weak,3.168,0.55,mixed,4.356,0.0,insufficient,3.6,0.55,mixed,4.356,0.6,supported,3.207,0.0,weak,3.651,positive,0.518,False,,"Selected Brand Champion via engagement gate (margin=0.38). Persona scores: Brand Champion=9.83 [gate], Brand Prospect=5.13 [+2 support], Non-Active Supporter=4.44, Brand Newbie=1.79. Engagement state: sections=ABCDEI; flags=explores_external_programs, has_current_jabc_engagement, has_jabc_experience, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.12"
Breton_Coons,filename,0.7,Interview_Breton_Coons _July24_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.661,True,0.436,0.333,0.271,0.417,0.565,1.0,ABCEI,True,True,False,False,True,False,False,False,False,False,True,False,0.964,0.0,"has_current_jabc_engagement: [5] …this year… career ed on report card - part of that she can report on what kids learn from these works | has_current_jabc_engagement: [5] …every year… career ed on report card - part of that she can report on what kids learn from these works | has_jabc_experience: [5] career ed on report card - part of that she can report on what kids learn from these workshops/volunteers; let parents know what is covered
every year | has_jabc_experience: [5.4] usually every years, 8-10 times; usually in the past more than money, this year change the offering for grade 4-5, similar program
whether it covers c",3.22,0.0,weak,3.94,0.55,mixed,4.336,0.0,insufficient,3.0,0.0,insufficient,3.114,0.55,supported,3.831,0.525,mixed,3.573,positive,0.421,False,,"Selected Brand Champion via engagement gate (margin=0.42). Persona scores: Brand Champion=10.16 [gate], Non-Active Supporter=4.95, Brand Prospect=4.21 [+1 support], Brand Newbie=2.75 [+1 support]. Engagement state: sections=ABCEI; flags=has_current_jabc_engagement, has_jabc_experience, has_no_external_experience, is_aware_of_jabc; jabc_recency=+0.96; external_disposition=+0.00"
Cole_Auringer,filename,0.7,Interview_Cole_Auringer_July21_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Non-Active Supporter,0.677,True,0.351,0.056,0.367,0.463,0.333,1.0,ABCEFI,True,False,True,False,True,True,True,False,False,False,False,False,-1.0,0.333,"has_jabc_experience: [5] We did a project 10 years ago where we brought a parent in who was attached to JA, a business guy, we had a leadership thing with grade 5-6 again. We  | has_jabc_experience: [5] We did a project 10 years ago where we brought a parent in who was attached to JA, a business guy, we had a leadership thing with grade 5-6 again. We  | has_lapsed_jabc_engagement: [3] …years ago… I am aware because I used it 10 years ago but I hadn't really considered it since then, an | has_lapsed_jabc_engagement: [3] …hadn't really considered… I am aware because I used it 10 years ago but I hadn't really considered it since then, an",4.1,0.55,weak,3.8,0.55,weak,3.0,0.0,unknown,3.6,0.55,weak,2.908,0.55,mixed,3.0,0.0,insufficient,3.401,positive,0.53,False,,"Selected Non-Active Supporter via engagement gate (margin=0.46). Persona scores: Non-Active Supporter=11.00 [gate], Brand Prospect=5.21 [+2 support], Brand Champion=4.33, Brand Newbie=2.33. Engagement state: sections=ABCEFI; flags=explores_external_programs, has_jabc_experience, has_lapsed_jabc_engagement, is_aware_of_jabc, runs_external_programs; jabc_recency=-1.00; external_disposition=+0.33"
David_Welch,filename,0.7,Interview_David Welch_July17_Teacher_Active.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.805,True,0.525,0.333,0.6,0.443,0.577,1.0,ABCDEIJ,True,True,False,True,True,True,True,True,False,False,False,False,0.0,0.408,"has_jabc_experience: [5] no trouble scheduling volunteers, school is smaller, more flexibility to accommodate; | has_jabc_experience: [5.2] its fine; JABC portal not smoothest, lots of scrolling to find things, not at the top of the webpage | has_positive_external_experience: [2.1.1] …open to… not open to talk about other programs | intends_to_continue_jabc: [4] …continue… JABC - 10yr ago, 1 student's parent was involved as presenter, parent asked if they want t | intends_to_continue_jabc: [9.3] …would recommend… talked about JABC at staff meetings, would recommend for business, financial literacy prog",3.22,0.55,weak,3.133,0.55,mixed,3.5,0.55,weak,3.6,0.55,weak,3.915,0.55,supported,4.664,0.85,weak,3.672,mixed,0.274,False,,"Selected Brand Champion via engagement gate (margin=0.44). Persona scores: Brand Champion=11.15 [gate] [+2 support], Brand Prospect=5.61 [+3 support], Non-Active Supporter=4.84 [+1 support], Brand Newbie=2.35. Engagement state: sections=ABCDEIJ; flags=explores_external_programs, has_current_jabc_engagement, has_jabc_experience, has_positive_external_experience, intends_to_continue_jabc, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.41"
David_Scott,filename,0.7,Interview_David_Scott_July22_Teacher_.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.835,True,0.365,0.167,0.183,0.529,0.423,1.0,ABCDEI,0,False,False,False,True,True,True,False,False,False,False,False,0.0,0.242,,3.24,0.55,weak,3.0,0.0,insufficient,3.223,0.0,weak,3.6,0.55,mixed,3.08,0.0,weak,3.0,0.0,unknown,3.191,positive,0.362,False,,"Selected Brand Prospect via engagement gate (margin=0.53). Persona scores: Brand Prospect=11.58 [gate] [+2 support], Non-Active Supporter=4.97, Brand Champion=3.68, Brand Newbie=2.86. Engagement state: sections=ABCDEI; flags=explores_external_programs, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.24"
